#.C wins.on .rack From Radar
#date(U.C),lon,lat,cP,eP,MaxWindRadius(km),foreward speed , forward direction, beta, rho
#
20160219.190024,-178.913963,-17.056937,914.00,1013.00,41.65,0.00,0.00,1.3,1.15
20160219.200024,-179.127900,-17.059330,913.50,1013.00,44.05,0.00,0.00,1.3,1.15
20160219.210024,-179.341010,-17.063924,913.00,1013.00,40.25,0.00,0.00,1.3,1.15
20160219.220002,-179.604553,-17.085827,912.50,1013.00,40.74,0.00,0.00,1.3,1.15
20160219.230002,-179.834096,-17.120795,911.50,1013.00,38.86,0.00,0.00,1.3,1.15
20160220.000024,179.893601,-17.134246,911.00,1013.00,40.93,0.00,0.00,1.3,1.15
20160220.010024,179.674649,-17.171824,910.50,1013.00,41.08,0.00,0.00,1.3,1.15
20160220.020024,179.435576,-17.195262,910.00,1013.00,39.32,0.00,0.00,1.3,1.15
20160220.030024,179.232378,-17.209977,909.50,1013.00,39.84,0.00,0.00,1.3,1.15
20160220.040024,179.057920,-17.216982,909.00,1013.00,50.79,0.00,0.00,1.3,1.15
20160220.050024,178.855498,-17.309874,908.00,1013.00,41.07,0.00,0.00,1.3,1.15
20160220.060024,178.579430,-17.364891,907.00,1013.00,49.79,0.00,0.00,1.3,1.15
20160220.070024,178.291064,-17.426546,909.00,1013.00,53.62,0.00,0.00,1.3,1.15
20160220.080024,177.947243,-17.397574,911.00,1013.00,57.16,0.00,0.00,1.3,1.15
20160220.090024,177.602984,-17.407464,913.00,1013.00,55.50,0.00,0.00,1.3,1.15
20160220.100024,177.244180,-17.389727,916.00,1013.00,47.91,0.00,0.00,1.3,1.15
20160220.110024,177.019802,-17.396324,918.00,1013.00,47.91,0.00,0.00,1.3,1.15
